COD_INE,ID_REL,COD_GEO,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,SUPERFICIE,PERIMETRO,COD_INE_CAPITAL,CAPITAL,POBLACION_CAPITAL,HOJA_MTN25_ETRS89,LONGITUD_ETRS89,LATITUD_ETRS89,ORIGENCOOR,ALTITUD,ORIGENALTITUD
1001000000,1010014,1010,1,Araba/Álava,Alegría-Dulantzi,2913,1994.5872,35069,1001000101,Alegría-Dulantzi,2804,0113-3,-2.51243731,42.83981158,Mapa,568,MDT5
1002000000,1010029,1020,1,Araba/Álava,Amurrio,10291,9635289,65134,1002000201,Amurrio,9159,0086-4,-3.00007326,43.05427776,Mapa,219,MDT5
1003000000,1010035,1030,1,Araba/Álava,Aramaio,1496,7327.4027,41818,1003000601,Ibarra,802,0087-4,-2.56540037,43.05119653,Mapa,333,MDT5
1004000000,1010040,1040,1,Araba/Álava,Artziniega,1829,2728.73,22886,1004000101,Artziniega,1699,0086-1,-3.12791718,43.12084358,Mapa,210,MDT5
1006000000,1010066,1060,1,Araba/Álava,Armiñón,239,1294.4326,24606,1006000101,Armiñón,113,0137-4,-2.87183475,42.72326199,Mapa,467,MDT5
1008000000,1010088,1080,1,Araba/Álava,Arratzua-Ubarrundia,976,5740.9889,66639,1008000501,Durana,333,0112-4,-2.63878816,42.89116171,Mapa,528,MDT5
1009000000,1010091,1090,1,Araba/Álava,Asparrena,1640,6533.64,53712,1009000401,Araia,1233,0113-4,-2.31670754,42.88968768,Mapa,602,MDT5
1010000000,1010105,1100,1,Araba/Álava,Ayala/Aiara,2969,14074.15,64072,1010002001,Arespalditza/Respaldiza,418,0086-3,-3.04306746,43.07768283,Mapa,306,MDT5
1011000000,1010112,1110,1,Araba/Álava,Baños de Ebro/Mañueta,306,945.9752,18610,1011000101,Baños de Ebro/Mañueta,306,0170-4,-2.67863583,42.52925602,Mapa,421,MDT5
1013000000,1010133,1130,1,Araba/Álava,Barrundia,898,9742.34,57432,1013001401,Ozaeta,192,0113-3,-2.49407452,42.91537538,Mapa,575,MDT5
1014000000,1010148,1140,1,Araba/Álava,Berantevilla,443,3573.0031,38711,1014000101,Berantevilla,289,0137-4,-2.85971414,42.68227191,Mapa,471,MDT5
1016000000,1010164,1160,1,Araba/Álava,Bernedo,504,13044.2902,85973,1016000301,Bernedo,167,0171-1,-2.49825439,42.62676989,Mapa,710,MDT5
1017000000,1010170,1170,1,Araba/Álava,Campezo/Kanpezu,1048,8536.0875,53461,1017000501,Santa Cruz de Campezo/Santikurutze Kanpezu,778,0139-4,-2.35207693,42.66971209,Mapa,578,MDT5
1018000000,1010186,1180,1,Araba/Álava,Zigoitia,1766,10206.9376,48596,1018000901,Gopegi,267,0112-1,-2.73033002,42.96210609,Mapa,585,MDT5
1019000000,1010199,1190,1,Araba/Álava,Kripan,184,1251599,15980,1019000101,Kripan,184,0171-1,-2.51621636,42.59082439,Mapa,691,MDT5
1020000000,1010203,1200,1,Araba/Álava,Kuartango,372,8403.4771,44173,1020002001,Zuhatzu Kuartango,140,0111-4,-2.88438243,42.87006411,Mapa,594,MDT5
1021000000,1010210,1210,1,Araba/Álava,Elburgo/Burgelu,607,3209.3031,58514,1021000401,Elburgo/Burgelu,161,0112-4,-2.54601815,42.84940575,Mapa,547,MDT5
1022000000,1010225,1220,1,Araba/Álava,Elciego,1030,1632.3129,21825,1022000101,Elciego,1030,0170-4,-2.61723872,42.51420738,Mapa,451,MDT5
1023000000,1010231,1230,1,Araba/Álava,Elvillar/Bilar,353,1750.2228,21190,1023000101,Elvillar/Bilar,353,0170-4,-2.54441267,42.56842577,Mapa,581,MDT5
1027000000,1010278,1250,1,Araba/Álava,Iruraiz-Gauna,530,4712.8628,81139,1027000101,Azilu,30,0139-1,-2.47396549,42.83108571,Mapa,634,MDT5
1028000000,1010284,1260,1,Araba/Álava,Labastida/Bastida,1454,3816.9756,35481,1028000103,Labastida/Bastida,1272,0170-1,-2.79288705,42.59076105,Mapa,554,MDT5
1030000000,1010301,1280,1,Araba/Álava,Lagrán,166,4562.02,34064,1030000101,Lagran,101,0170-2,-2.58423377,42.62621464,Mapa,751,MDT5
1031000000,1010318,1290,1,Araba/Álava,Laguardia,1474,8108514,84436,1031000202,Laguardia/Biasteri,1323,0170-4,-2.58411693,42.55236655,Mapa,630,MDT5
1032000000,1010323,1300,1,Araba/Álava,Lanciego/Lantziego,673,2419.6239,26300,1032000201,Lanciego/Lantziego,589,0171-3,-2.51278162,42.5624416,Mapa,542,MDT5
1033000000,1010339,1310,1,Araba/Álava,Lapuebla de Labarca,859,598.7767,12420,1033000101,La Puebla de Labarca/Lapuebla Labarka,859,0203-2,-2.57209001,42.49441468,Mapa,431,MDT5
1034000000,1010344,1320,1,Araba/Álava,Leza,203,992.2543,14579,1034000101,Leza,172,0170-4,-2.63459428,42.56469687,Mapa,569,MDT5
1036000000,1010360,1340,1,Araba/Álava,Laudio/Llodio,18133,3756,27576,1036000101,Laudio/Llodio,18133,0086-2,-2.96256495,43.1425188,Mapa,123,MDT5
1037000000,1010376,1350,1,Araba/Álava,Arraia-Maeztu,725,12310.7942,59163,1037001001,Maeztu/Maestu,338,0139-3,-2.44663872,42.74000217,Mapa,658,MDT5
1039000000,1010395,1360,1,Araba/Álava,Moreda de Álava/Moreda Araba,230,867.1106,12022,1039000101,Moreda de Álava/Moreda Araba,230,0171-3,-2.40841718,42.52479167,Mapa,461,MDT5
1041000000,1010416,1380,1,Araba/Álava,Navaridas,226,891.6398,11775,1041000101,Navaridas,226,0170-4,-2.62479544,42.5450594,Mapa,535,MDT5
1042000000,1010421,1390,1,Araba/Álava,Okondo,1155,2979.23,34703,1042000001,Eskauriatza,0,0061-4,-3.019026823,43.1615513,Mapa,135,Mapa
1043000000,1010437,1400,1,Araba/Álava,Oyón-Oion,3338,4517.7474,42025,1043000301,Oion,3152,0171-3,-2.43775585,42.50626162,Mapa,433,MDT5
1044000000,1010442,1410,1,Araba/Álava,Peñacerrada-Urizaharra,264,6217.54,42084,1044000601,Peñacerrada/Urizaharra,114,0170-1,-2.71402821,42.64417512,Mapa,752,MDT5
1046000000,1010468,1430,1,Araba/Álava,Erriberagoitia/Ribera Alta,736,11978.2131,83147,1046001901,Pobes,143,0137-2,-2.91080642,42.80074682,Mapa,545,MDT5
1047000000,1010474,1440,1,Araba/Álava,Ribera Baja/Erribera Beitia,1375,2536.0438,30506,1047000501,Ribabellosa,1097,0137-4,-2.91704002,42.71339792,Mapa,483,MDT5
1049000000,1010493,1460,1,Araba/Álava,Añana,156,2192.3285,21681,1049000201,Salinas de Añana/Gesaltza Añana,143,0137-2,-2.98601634,42.8012318,Mapa,574,MDT5
1051000000,1010513,1470,1,Araba/Álava,Agurain/Salvatierra,5025,3776.9884,37786,1051000601,Agurain/Salvatierra,4900,0113-3,-2.38874391,42.85002265,Mapa,605,MDT5
1052000000,1010528,1480,1,Araba/Álava,Samaniego,323,1063761,16532,1052000101,Samaniego,323,0170-4,-2.67904862,42.56735197,Mapa,571,MDT5
1053000000,1010534,1490,1,Araba/Álava,San Millán/Donemiliaga,709,8540.58,107242,1053001101,Ordoñana/Erdoñana,42,0113-3,-2.37748902,42.87382571,Mapa,600,MDT5
1054000000,1010549,1500,1,Araba/Álava,Urkabustaiz,1330,6084.8426,37107,1054000701,Izarra,983,0111-2,-2.90661046,42.95304046,Mapa,633,MDT5
1055000000,1010552,1510,1,Araba/Álava,Valdegovía/Gaubea,996,23827336,104431,1055003001,Villanueva de Valdegovía,124,0111-3,-3.09884417,42.84756896,Mapa,552,MDT5
1056000000,1010565,1520,1,Araba/Álava,Harana/Valle de Arana,232,3912.1857,37971,1056000101,Alda,29,0139-2,-2.33104687,42.75289194,Mapa,812,MDT5
1057000000,1010571,1530,1,Araba/Álava,Villabuena de Álava/Eskuernaga,300,847.9289,14014,1057000101,Villabuena de Álava/Eskuernaga,300,0170-4,-2.66452938,42.54857804,Mapa,483,MDT5
1058000000,1010587,1540,1,Araba/Álava,Legutio,1800,4585.3184,37334,1058000601,Legutio,1290,0112-2,-2.64255929,42.9798744,Mapa,570,MDT5
1059000000,1010590,1001,1,Araba/Álava,Vitoria-Gasteiz,246976,27681.2008,111412,1059006301,Vitoria-Gasteiz,241976,0112-4,-2.67275685,42.85058789,Mapa,539,MDT5
1060000000,1010604,1550,1,Araba/Álava,Yécora/Iekora,270,1880.2483,20919,1060000101,Yécora/Iekora,270,0171-3,-2.4700849,42.56923117,Mapa,694,MDT5
1061000000,1010611,1560,1,Araba/Álava,Zalduondo,190,1187.86,21423,1061000101,Zalduondo,189,0113-4,-2.34650825,42.88580971,Mapa,612,MDT5
1062000000,1010626,1570,1,Araba/Álava,Zambrana,383,3950.6249,43865,1062000401,Zambrana,297,0169-2,-2.87806502,42.66112968,Mapa,458,MDT5
1063000000,1010632,1580,1,Araba/Álava,Zuia,2316,12248.6671,49689,1063001101,Murgia,1112,0112-1,-2.81862854,42.95597763,Mapa,617,MDT5
1901000000,1019015,1245,1,Araba/Álava,Iruña Oka/Iruña de Oca,3264,5325.0072,35113,1901000201,Nanclares de la Oca/Langraiz Oka,2362,0138-1,-2.8147543,42.81819126,Mapa,502,MDT5
1902000000,1019020,1305,1,Araba/Álava,Lantarón,899,6748.9609,63204,1902000401,Comunión/Komunioi,89,0137-4,-2.96649719,42.71657557,Mapa,482,MDT5
2001000000,1020019,2010,2,Albacete,Abengibre,748,3076.9225,25257,2001000101,Abengibre,748,0743-4,-1.54384487,39.2100078,Mapa,634,MDT5
2002000000,1020024,2020,2,Albacete,Alatoz,555,6385.5135,37232,2002000101,Alatoz,544,0767-1,-1.36097604,39.09494843,Mapa,858,MDT5
2003000000,1020030,2001,2,Albacete,Albacete,172816,112702.38,249581,2003000201,Albacete,166065,0790-2,-1.85574745,38.99588053,Mapa,681,MDT5
2004000000,1020045,2030,2,Albacete,Albatana,698,3052.2595,22578,2004000101,Albatana,690,0843-4,-1.52275248,38.5708754,Mapa,582,MDT5
2005000000,1020058,2040,2,Albacete,Alborea,697,7205.1825,36259,2005000101,Alborea,695,0744-1,-1.39670449,39.27835442,Mapa,706,MDT5
2006000000,1020061,2050,2,Albacete,Alcadozo,662,9958.7,53730,2006000101,Alcadozo,595,0842-2,-1.9802275,38.6489758,Mapa,925,MDT5
2007000000,1020077,2060,2,Albacete,Alcalá del Júcar,1202,14682.4446,51494,2007000101,Alcalá del Júcar,639,0744-3,-1.42932697,39.1932018,Mapa,547,MDT5
2008000000,1020083,2070,2,Albacete,Alcaraz,1414,37053.3125,289056,2008000101,Alcaraz,1155,0841-1,-2.49034957,38.66425104,Mapa,953,MDT5
2009000000,1020096,2080,2,Albacete,Almansa,24566,53191.1048,93239,2009000101,Almansa,24098,0793-3,-1.09414681,38.86968811,Mapa,687,MDT5
2010000000,1020100,2090,2,Albacete,Alpera,2290,17847.2745,56652,2010000101,Alpera,2268,0792-2,-1.23080245,38.95969094,Mapa,852,MDT5
2011000000,1020117,2100,2,Albacete,Ayna,672,14658.96,65701,2011000101,Ayna,483,0842-3,-2.07053831,38.55217746,Mapa,696,MDT5
2012000000,1020122,2110,2,Albacete,Balazote,2350,6515.3733,31749,2012000101,Balazote,2325,0790-3,-2.15096732,38.88396156,Mapa,771,MDT5
2013000000,1020138,2120,2,Albacete,Balsa de Ves,136,7634.9273,39452,2013000101,Balsa de Ves,92,0744-2,-1.19650012,39.26461253,Mapa,751,MDT5
2014000000,1020143,2130,2,Albacete,El Ballestero,414,13869.3693,49399,2014000101,El Ballestero,404,0789-3,-2.45508633,38.84252196,Mapa,1027,MDT5
2015000000,1020156,2140,2,Albacete,Barrax,1872,18983.33,52801,2015000101,Barrax,1852,0764-4,-2.20045637,39.0456106,Mapa,733,MDT5
2016000000,1020169,2150,2,Albacete,Bienservida,615,9073437,56309,2016000101,Bienservida,611,0840-4,-2.61184243,38.51602097,Mapa,898,MDT5
2017000000,1020175,2160,2,Albacete,Bogarra,908,16601.4619,77106,2017000201,Bogarra,672,0841-4,-2.21253636,38.58025427,Mapa,844,MDT5
2018000000,1020181,2170,2,Albacete,Bonete,1103,12505526,55720,2018000101,Bonete,1093,0792-4,-1.34830324,38.86950589,Mapa,886,MDT5
2019000000,1020194,2180,2,Albacete,El Bonillo,2852,50266,154331,2019000101,El Bonillo,2828,0788-2,-2.54023691,38.95012362,Mapa,1062,MDT5
2020000000,1020208,2190,2,Albacete,Carcelén,521,7536.3731,38287,2020000101,Carcelén,488,0767-2,-1.30876708,39.10231176,Mapa,911,MDT5
2021000000,1020215,2200,2,Albacete,Casas de Juan Núñez,1291,8898.2779,42030,2021000101,Casas de Juan Núñez,1277,0766-2,-1.55799035,39.10160749,Mapa,704,MDT5
2022000000,1020220,2210,2,Albacete,Casas de Lázaro,358,11231.6773,70760,2022000201,Casas de Lázaro,262,0815-2,-2.23922378,38.7705758,Mapa,942,MDT5
2023000000,1020236,2220,2,Albacete,Casas de Ves,628,12509.4606,67921,2023000101,Casas de Ves,628,0744-2,-1.33454992,39.25946122,Mapa,707,MDT5
2024000000,1020241,2230,2,Albacete,Casas-Ibáñez,4558,10321.9713,56015,2024000101,Casas-Ibáñez,4548,0744-1,-1.47129143,39.28701686,Mapa,708,MDT5
2025000000,1020254,2240,2,Albacete,Caudete,10010,14160.7632,49636,2025000101,Caudete,9557,0819-4,-0.9886912,38.70573009,Mapa,554,MDT5
2026000000,1020267,2250,2,Albacete,Cenizate,1192,6326.0153,35204,2026000101,Cenizate,1192,0743-2,-1.66113349,39.30332101,Mapa,706,MDT5
2027000000,1020273,2260,2,Albacete,Corral-Rubio,342,9475.5686,42347,2027000101,Corral-Rubio,314,0792-3,-1.4608525,38.83500072,Mapa,870,MDT5
2028000000,1020289,2270,2,Albacete,Cotillas,130,1446.9288,15802,2028000201,Cotillas,101,0866-1,-2.50574545,38.43135915,Mapa,947,MDT5
2029000000,1020292,2280,2,Albacete,Chinchilla de Monte-Aragón,4213,67927.33,163946,2029000201,Chinchilla de Monte-Aragón,3205,0791-1,-1.72602643,38.9210968,Mapa,907,MDT5
2030000000,1020306,2290,2,Albacete,Elche de la Sierra,3666,23949.4125,84011,2030000101,Elche de la Sierra,3300,0867-1,-2.04781376,38.44790893,Mapa,630,MDT5
2031000000,1020313,2300,2,Albacete,Férez,678,12614.1544,56948,2031000101,Férez,653,0867-4,-2.00953934,38.35567013,Mapa,682,MDT5
2032000000,1020328,2310,2,Albacete,Fuensanta,313,2395.6454,26368,2032000101,Fuensanta,309,0742-3,-2.06725219,39.24466001,Mapa,693,MDT5
2033000000,1020334,2320,2,Albacete,Fuente-Álamo,2531,13339011,45577,2033000101,Fuente-Álamo,2472,0818-3,-1.43170411,38.69314229,Mapa,820,MDT5
2034000000,1020349,2330,2,Albacete,Fuentealbilla,1843,10829379,64740,2034000301,Fuentealbilla,1638,0743-2,-1.54879364,39.26773579,Mapa,670,MDT5
2035000000,1020352,2340,2,Albacete,La Gineta,2457,13676.75,49650,2035000101,La Gineta,2249,0765-2,-1.99784496,39.11387916,Mapa,691,MDT5
2036000000,1020365,2350,2,Albacete,Golosalvo,110,2817.6676,24505,2036000101,Golosalvo,110,0743-4,-1.63626863,39.23996013,Mapa,740,MDT5
2037000000,1020371,2360,2,Albacete,Hellín,30184,78118.8703,149825,2037000501,Hellín,24961,0843-3,-1.70344921,38.51218953,Mapa,570,MDT5
2038000000,1020387,2370,2,Albacete,La Herrera,341,6342.58,42320,2038000201,La Herrera,305,0790-1,-2.12637236,38.9621774,Mapa,714,MDT5
2039000000,1020390,2380,2,Albacete,Higueruela,1196,20545.4904,86388,2039000301,Higueruela,1168,0792-1,-1.44535609,38.96455026,Mapa,1041,MDT5
