Nombre Comunidad Autónoma,Nombre Provincia,Nombre municipio,Número de observaciones muestrales,Población (INE),Población declarante (IRPF),Renta imponible agregada (IRPF),Renta imponible media (por declarante),Renta imponible media (por habitante),Renta mediana,Índice de Gini ,"Índice de Atkinson 0,5",Top 1%,"Top 0,5%","Top 0,1%",Quintil 1,Quintil 2,Quintil 3,Quintil 4,Quintil 5,COD_INE_CAPITAL,LATITUD_ETRS89,LONGITUD_ETRS89,Porcentaje de Poblacion Declarante
Andalucía,Almería,Adra,970.0,23742.0,8469.0,130144139.28,15367.12,5481.59966641395,10929.2,0.50783907,0.24529371,16.63407,13.02272,4.094971,3.048995,8.7283,13.93528,19.63541,54.65202,4003,36.74868325,-3.02330257,0.3567096285064443
Andalucía,Almería,Albox,418.0,11166.0,3684.0,54312143.63999999,14742.71,4864.0644492208485,11466.7,0.46591226,0.20041107,8.440436,5.099482,0.8743289,2.584146,9.03933,15.7912,22.41311,50.17221,4006,37.38850758,-2.14799133,0.32993014508328855
Andalucía,Almería,Almería,7131.0,186651.0,77167.0,1595268760.9799998,20672.94,8546.79996881881,15608.84,0.45305698,0.19063067,10.03381,7.401731,3.490967,3.296872,9.618672,15.1485,22.95985,48.9761,4013,36.83892362,-2.46413188,0.41342934139115245
Andalucía,Almería,Berja,535.0,14508.0,4903.0,73921746.52,15076.84,5095.240317066446,11233.35,0.47255212,0.21042751,11.595,9.086736,3.999785,3.333673,9.302896,15.10602,20.7012,51.55621,4029,36.84732147,-2.94948207,0.33795147504824924
Andalucía,Almería,Carboneras,283.0,7570.0,2776.0,53656498.96,19328.71,7088.04477675033,14443.65,0.47465769,0.20315975,8.184823,5.382164,1.508799,2.879141,9.080024,14.42285,23.04019,50.57779,4032,36.99742391,-1.89349648,0.3667107001321004
Andalucía,Almería,Cuevas del Almanzora,455.0,11649.0,4681.0,72989101.03,15592.63,6265.696714739463,10910.58,0.48692054,0.22842718,15.46597,11.40929,3.324135,3.851238,9.793209,13.96933,19.61087,52.77535,4035,37.2967313,-1.87991806,0.40183706755944715
Andalucía,Almería,"Ejido, El",2748.0,78105.0,26501.0,456097845.59000003,17210.59,5839.547347673005,11828.79,0.48952856,0.21923513,12.13371,8.81107,3.854866,3.302536,8.834487,13.827,21.52235,52.51362,4902,36.77576137,-2.81490838,0.33929966071314255
Andalucía,Almería,Garrucha,266.0,7920.0,2932.0,47041242.56,16044.08,5939.550828282829,12330.85,0.44447827,0.18423331,8.930855,6.608771,1.587302,3.975952,9.831569,15.11646,22.67571,48.4003,4049,37.179719399999996,-1.82347743,0.3702020202020202
Andalucía,Almería,Huércal de Almería,637.0,12757.0,7147.0,125434709.96000001,17550.68,9832.618167280709,14837.47,0.36739823,0.12553215,5.814106,3.813788,1.724527,4.806711,12.12474,17.10553,23.67923,42.28379,4052,36.88406432,-2.43599715,0.5602414360743121
Andalucía,Almería,Huércal-Overa,734.0,16360.0,6876.0,108962803.08,15846.83,6660.3180366748165,11836.58,0.46128526,0.20473812,11.93104,8.556201,4.387807,3.180329,10.00998,15.02611,21.45527,50.32832,4053,37.38937619,-1.9430310000000002,0.42029339853300735
Andalucía,Almería,Macael,205.0,6149.0,2261.0,37065319.13,16393.33,6027.861299398277,12530.05,0.40508505,0.15681594,9.110518,6.068712,2.757384,4.643834,12.27742,15.53949,20.47835,47.06091,4062,37.33233031,-2.30432229,0.367702065376484
Andalucía,Almería,Mojácar,315.0,6507.0,1838.0,34494609.86,18767.47,5301.154120178269,10866.18,0.55072004,0.29852615,20.84238,17.68509,3.811318,2.291442,7.53013,12.11337,18.76461,59.30044,4064,37.14008707,-1.85016798,0.2824650376517596
Andalucía,Almería,"Mojonera, La",215.0,7872.0,2433.0,43982873.79,18077.63,5587.255308689024,11512.09,0.56147665,0.28619056,17.6225,10.19796,1.854174,2.490537,7.434419,12.09806,18.52222,59.45477,4903,36.75456705,-2.68308803,0.3090701219512195
Andalucía,Almería,Níjar,811.0,25287.0,7344.0,123240178.08,16781.07,4873.657534701625,12023.0,0.49848638,0.21971614,6.691981,3.909555,1.227301,2.593184,8.139628,14.16174,22.51518,52.59027,4066,36.96580749,-2.20611069,0.29042591054692135
Andalucía,Almería,Olula del Río,242.0,6446.0,2379.0,37288898.01,15674.19,5784.811977970834,13201.4,0.38129313,0.13454243,5.963544,3.443748,0.6350822,4.51494,11.87544,16.95419,23.18347,43.47196,4069,37.3531739,-2.29735506,0.36906608749612163
Andalucía,Almería,Pulpí,348.0,7911.0,3090.0,37337891.4,12083.46,4719.743572241183,9993.35,0.42079451,0.15793933,6.033841,3.726453,1.110652,4.227131,9.681209,15.97804,25.02968,45.08394,4075,37.41211031,-1.745159,0.3905953735305271
Andalucía,Almería,Roquetas de Mar,2797.0,71279.0,30146.0,625749867.26,20757.31,8778.881118702562,14189.12,0.49273849,0.22023297,11.55487,8.347249,3.443562,3.106534,8.873137,13.73256,21.48977,52.79801,4079,36.76467854,-2.6150576,0.4229296146129996
Andalucía,Almería,Vélez-Rubio,336.0,7062.0,2775.0,36375255.0,13108.2,5150.843245539507,7243.13,0.55365518,0.27586156,17.71917,10.45545,1.511526,2.498426,6.774091,11.97551,19.20481,59.54716,4099,37.64799415,-2.07415558,0.3929481733220051
Andalucía,Almería,Vera,429.0,12256.0,4670.0,101928821.0,21826.3,8316.646622062663,13362.66,0.5438624,0.29580098,24.87779,21.19242,8.403194,3.081774,8.174676,12.07284,18.95673,57.71399,4100,37.24675325,-1.86877507,0.3810378590078329
